member_no,date,amount,source,reference,description
ILS24-F00019,2024-12-10,300000,mkoba,SHR-ILS24-F00019-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00019,2024-12-11,200000,mkoba,SHR-ILS24-F00019-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00019,2025-01-02,200000,mkoba,SHR-ILS24-F00019-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00018,2024-03-29,530000,mkoba,SHR-ILS24-F00018-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00018,2024-08-26,100000,mkoba,SHR-ILS24-F00018-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00018,2024-12-31,200000,mkoba,SHR-ILS24-F00018-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00033,2024-03-30,50000,mkoba,SHR-ILS24-F00033-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00033,2024-12-05,580000,mkoba,SHR-ILS24-F00033-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00033,2024-12-26,200000,mkoba,SHR-ILS24-F00033-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00038,2024-03-31,100000,mkoba,SHR-ILS24-F00038-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00038,2025-02-05,500000,mkoba,SHR-ILS24-F00038-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00025,2024-12-31,800000,mkoba,SHR-ILS24-F00025-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00055,2024-04-02,100000,mkoba,SHR-ILS24-F00055-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00050,2024-04-10,130000,mkoba,SHR-ILS24-F00050-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00050,2024-08-20,80000,mkoba,SHR-ILS24-F00050-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00050,2024-08-25,270000,mkoba,SHR-ILS24-F00050-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00050,2024-08-26,230000,mkoba,SHR-ILS24-F00050-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00042,2024-04-27,250000,mkoba,SHR-ILS24-F00042-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00042,2024-08-26,450000,mkoba,SHR-ILS24-F00042-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00042,2024-12-31,200000,mkoba,SHR-ILS24-F00042-0003,Historical share capital (Ilboru DETAILS)
