member_no,date,amount,source,reference,description
ILS24-F00023,2026-04-26,17925,loan,DIV-ILS24-F00023-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00023,2026-05-05,46114,utt,DIV-ILS24-F00023-08,DIV. 7 UTT 5th May 26
ILS24-F00024,2024-12-31,29732,utt,DIV-ILS24-F00024-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00024,2025-11-25,32741,utt,DIV-ILS24-F00024-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00024,2025-12-15,49936,loan,DIV-ILS24-F00024-03,DIVIDENT 3 (Loan 1)
ILS24-F00024,2026-01-24,44094,utt,DIV-ILS24-F00024-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00024,2026-02-28,105255,loan,DIV-ILS24-F00024-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00024,2026-04-15,59154,utt,DIV-ILS24-F00024-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00024,2026-04-26,10336,loan,DIV-ILS24-F00024-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00024,2026-05-05,26591,utt,DIV-ILS24-F00024-08,DIV. 7 UTT 5th May 26
ILS24-F00025,2024-12-31,14866,utt,DIV-ILS24-F00025-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00025,2025-11-25,19644,utt,DIV-ILS24-F00025-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00025,2025-12-15,29961,loan,DIV-ILS24-F00025-03,DIVIDENT 3 (Loan 1)
ILS24-F00025,2026-01-24,21336,utt,DIV-ILS24-F00025-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00025,2026-02-28,50930,loan,DIV-ILS24-F00025-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00025,2026-04-15,14572,utt,DIV-ILS24-F00025-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00025,2026-04-26,2318,loan,DIV-ILS24-F00025-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00025,2026-05-05,5963,utt,DIV-ILS24-F00025-08,DIV. 7 UTT 5th May 26
ILS24-F00026,2024-12-31,28245,utt,DIV-ILS24-F00026-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00026,2025-11-25,24883,utt,DIV-ILS24-F00026-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00026,2025-12-15,37951,loan,DIV-ILS24-F00026-03,DIVIDENT 3 (Loan 1)
ILS24-F00026,2026-01-24,27025,utt,DIV-ILS24-F00026-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00026,2026-02-28,64511,loan,DIV-ILS24-F00026-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00026,2026-04-15,18458,utt,DIV-ILS24-F00026-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00026,2026-04-26,2936,loan,DIV-ILS24-F00026-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00026,2026-05-05,7553,utt,DIV-ILS24-F00026-08,DIV. 7 UTT 5th May 26
ILS24-F00027,2024-12-31,14866,utt,DIV-ILS24-F00027-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00027,2025-11-25,26193,utt,DIV-ILS24-F00027-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00027,2025-12-15,39948,loan,DIV-ILS24-F00027-03,DIVIDENT 3 (Loan 1)
ILS24-F00027,2026-01-24,28448,utt,DIV-ILS24-F00027-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00027,2026-02-28,67906,loan,DIV-ILS24-F00027-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00027,2026-04-15,19430,utt,DIV-ILS24-F00027-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00027,2026-04-26,3091,loan,DIV-ILS24-F00027-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00027,2026-05-05,7951,utt,DIV-ILS24-F00027-08,DIV. 7 UTT 5th May 26
ILS24-F00028,2024-12-31,25272,utt,DIV-ILS24-F00028-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00028,2025-11-25,22264,utt,DIV-ILS24-F00028-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00028,2025-12-15,33956,loan,DIV-ILS24-F00028-03,DIVIDENT 3 (Loan 1)
ILS24-F00028,2026-01-24,24181,utt,DIV-ILS24-F00028-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00028,2026-02-28,57720,loan,DIV-ILS24-F00028-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00028,2026-04-15,37305,utt,DIV-ILS24-F00028-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00028,2026-04-26,7479,loan,DIV-ILS24-F00028-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00028,2026-05-05,19241,utt,DIV-ILS24-F00028-08,DIV. 7 UTT 5th May 26
ILS24-F00029,2024-12-31,20812,utt,DIV-ILS24-F00029-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00029,2025-11-25,24883,utt,DIV-ILS24-F00029-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00029,2025-12-15,37951,loan,DIV-ILS24-F00029-03,DIVIDENT 3 (Loan 1)
ILS24-F00029,2026-01-24,41249,utt,DIV-ILS24-F00029-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00029,2026-02-28,112045,loan,DIV-ILS24-F00029-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00029,2026-04-15,42745,utt,DIV-ILS24-F00029-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00029,2026-04-26,6799,loan,DIV-ILS24-F00029-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00029,2026-05-05,17492,utt,DIV-ILS24-F00029-08,DIV. 7 UTT 5th May 26
ILS24-F00030,2024-12-31,22299,utt,DIV-ILS24-F00030-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00030,2025-11-25,24883,utt,DIV-ILS24-F00030-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00030,2025-12-15,37951,loan,DIV-ILS24-F00030-03,DIVIDENT 3 (Loan 1)
ILS24-F00030,2026-01-24,39116,utt,DIV-ILS24-F00030-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00030,2026-02-28,110348,loan,DIV-ILS24-F00030-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00030,2026-04-15,36431,utt,DIV-ILS24-F00030-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00030,2026-04-26,9658,loan,DIV-ILS24-F00030-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00030,2026-05-05,24846,utt,DIV-ILS24-F00030-08,DIV. 7 UTT 5th May 26
ILS24-F00031,2024-12-31,15163,utt,DIV-ILS24-F00031-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00031,2025-11-25,13358,utt,DIV-ILS24-F00031-02,DIVIDENT 2 UTT (Nov. 25)
